SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
R,-19.295,9.17599,4.45331,1.96157,-18.5719,10.2069,-19.1542,9.27409,4.68278,1.94666,4.52252
L,-19.0099,9.26523,4.57022,1.86145,-18.6786,9.19191,-18.9193,9.36959,4.71692,1.8751,6.0532
R,-18.7919,9.3492,4.59325,1.76536,-19.2825,8.98189,-18.6827,9.46154,4.7494,1.80429,1.70948
L,-18.5375,9.4505,4.65717,1.71539,-18.4242,9.46852,-18.4446,9.54997,4.78028,1.73429,0.719606
R,-18.2718,9.47727,4.78974,1.42283,-18.1634,8.72444,-18.2049,9.63492,4.80959,1.66514,5.9061
L,-17.9804,9.60728,4.90159,1.4417,-17.7736,9.72478,-17.9639,9.71643,4.83737,1.59691,3.30685
R,-17.7348,9.70172,4.88532,1.45961,-17.2296,9.97767,-17.7214,9.79457,4.86368,1.52964,2.87514
L,-17.4602,9.81005,4.95563,1.4538,-17.3436,9.88109,-17.4777,9.86936,4.88856,1.46338,1.10229
R,-17.2116,9.88736,4.98529,1.38141,-17.1554,10.212,-17.2328,9.94087,4.91205,1.39818,0.439135
L,-16.9398,10.0115,5.04414,1.42521,-16.8876,10.145,-16.9868,10.0091,4.93421,1.33408,1.30335
R,-16.684,10.0792,5.07166,1.34236,-16.5958,10.1078,-16.7396,10.0743,4.95507,1.27113,0.0611893
L,-16.4366,10.1857,5.08675,1.35988,-16.5153,10.3091,-16.4915,10.1363,4.97469,1.20937,1.20041
R,-16.1787,10.2543,5.12249,1.27545,-16.09,10.5824,-16.2424,10.1952,4.99311,1.14883,0.526006
L,-15.9442,10.2757,5.10362,1.11419,-16.0059,10.1843,-15.9924,10.2511,5.01039,1.08956,0.765403
R,-15.6954,10.3433,5.09568,1.09378,-15.7234,10.41,-15.7416,10.3041,5.02655,1.03159,0.267928
L,-15.4752,10.3331,5.04952,0.888278,-15.5699,10.1904,-15.4899,10.3543,5.04166,0.974957,1.85003
R,-15.1806,10.3539,5.16495,0.675253,-14.2385,10.9109,-15.2376,10.4016,5.05576,0.919692,7.68713
L,-14.9199,10.408,5.18695,0.627833,-14.9365,10.4722,-14.9846,10.4462,5.06889,0.865828,0.257794
R,-14.6754,10.4474,5.11843,0.659431,-14.724,9.63506,-14.7309,10.4882,5.0811,0.813394,6.63986
L,-14.4332,10.41,5.08889,0.433485,-14.4088,10.222,-14.4766,10.5276,5.09243,0.762418,2.15592
R,-14.1727,10.4362,5.09755,0.377671,-13.9005,10.5238,-14.2218,10.5645,5.10293,0.712926,0.580138
L,-13.8662,10.5908,5.21031,0.606151,-13.8049,10.9383,-13.9665,10.5989,5.11263,0.664944,7.8015
R,-13.6083,10.658,5.17755,0.711586,-13.3956,10.7857,-13.7107,10.631,5.12159,0.618495,1.89565
L,-13.3596,10.6549,5.16297,0.580602,-13.3556,10.5517,-13.4545,10.6608,5.12983,0.573603,0.645021
R,-13.0955,10.6805,5.18386,0.510699,-12.9374,10.8137,-13.1979,10.6884,5.13741,0.530288,0.23256
L,-12.8404,10.7762,5.19734,0.617022,-12.9591,11.0099,-12.9409,10.7138,5.14436,0.48857,3.81416
R,-12.5735,10.8292,5.20755,0.643837,-12.2518,11.2495,-12.6836,10.7373,5.15071,0.448467,1.26724
L,-12.3404,10.7931,5.16024,0.456953,-12.3713,10.6091,-12.426,10.7587,5.15651,0.409998,2.13611
R,-12.0815,10.8327,5.15258,0.486,-11.9352,10.9161,-12.1681,10.7783,5.16179,0.373177,0.469173
L,-11.8353,10.8971,5.14826,0.536347,-11.9451,11.0515,-11.91,10.7961,5.16658,0.338022,1.93079
R,-11.5574,10.9175,5.18442,0.482417,-10.9703,10.9676,-11.6516,10.8121,5.17092,0.304546,2.6711
L,-11.3293,10.9311,5.14097,0.424881,-11.4548,10.9407,-11.393,10.8265,5.17484,0.272761,0.873138
R,-11.0665,10.8577,5.19665,-0.0114737,-11.3472,10.5111,-11.1342,10.8394,5.17836,0.242681,9.79189
L,-10.7764,10.8273,5.22865,-0.151427,-10.6009,10.6822,-10.8753,10.8509,5.18152,0.214317,2.72315
R,-10.5215,10.8238,5.21433,-0.208033,-10.6563,10.8369,-10.6161,10.8609,5.18435,0.187679,0.205127
L,-10.2883,10.8165,5.17294,-0.276974,-10.4142,10.8747,-10.3569,10.8697,5.18687,0.162776,1.01943
R,-10.038,10.876,5.1266,-0.0418178,-9.90413,11.2255,-10.0976,10.8772,5.1891,0.139618,6.7628
L,-9.77751,10.9235,5.14728,0.0226569,-9.83445,11.1032,-9.83808,10.8837,5.19106,0.118212,1.97167
R,-9.54575,10.9042,5.1013,-0.0521025,-10.195,10.3498,-9.57852,10.8891,5.19278,0.0985663,4.01828
L,-9.28558,10.9304,5.11726,-0.0288304,-9.3066,11.0348,-9.31887,10.8936,5.19428,0.0806865,0.636281
R,-9.03891,10.9111,5.09167,-0.0795876,-9.2226,10.3527,-9.05915,10.8972,5.19557,0.0645787,2.64425
L,-8.77521,10.9427,5.11524,-0.0374913,-8.78899,11.0707,-8.79937,10.9001,5.19667,0.0502481,0.936981
R,-8.5349,10.8992,5.0797,-0.154212,-8.83914,10.0319,-8.53954,10.9023,5.19759,0.0376992,6.5011
L,-8.36778,10.8198,4.92436,-0.33893,-8.62045,10.6577,-8.27965,10.9039,5.19835,0.0269359,5.4896
R,-8.11542,10.8341,4.92827,-0.270468,-7.91543,11.1157,-8.01974,10.905,5.19896,0.0179617,1.38538
L,-7.78296,10.8794,5.07442,-0.170858,-7.51971,11.0005,-7.75979,10.9057,5.19942,0.0107791,5.0621
R,-7.51944,10.8811,5.07814,-0.11743,-7.25987,10.6458,-7.49981,10.9061,5.19975,0.00539028,1.91164
L,-7.24543,10.8688,5.10675,-0.143318,-7.15631,10.815,-7.23983,10.9063,5.19994,0.00179692,0.576708
R,-7.00473,10.9042,5.07192,0.0221497,-7.39396,11.0181,-6.97983,10.9064,5.2,-7.84873e-15,3.31494
