SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
R,13.3806,20.8359,-4.83391,1.04713,13.8263,20.4261,13.4632,20.8671,-4.70789,1.14153,2.11561
L,13.1339,20.8753,-4.86737,0.878655,13.1072,20.8294,13.2271,20.9211,-4.73904,1.01975,0.149526
R,12.9029,20.9348,-4.87265,0.784627,13.2669,21.1579,12.9895,20.969,-4.76702,0.897694,1.84472
L,12.7029,20.9772,-4.8316,0.66208,12.8729,21.0592,12.7506,21.0108,-4.79186,0.775469,1.9402
R,12.4509,21.0185,-4.8691,0.535435,11.5171,21.6724,12.5106,21.0465,-4.81358,0.653175,2.56505
L,12.2036,21.055,-4.89284,0.415495,12.2062,21.11,12.2695,21.0761,-4.83219,0.530912,0.166711
R,11.9658,21.0749,-4.89805,0.264573,12.3859,21.1066,12.0276,21.0996,-4.84773,0.408778,0.910341
L,11.7231,21.0439,-4.88445,0.0418541,11.6814,20.8651,11.785,21.117,-4.86022,0.286869,1.81764
R,11.4771,21.0306,-4.88,-0.125702,11.5265,20.6748,11.5418,21.1283,-4.86971,0.165281,1.0537
L,11.2609,21.0232,-4.83435,-0.266601,11.363,21.0689,11.2982,21.1335,-4.87623,0.0441057,0.685266
R,11.0079,20.9846,-4.83028,-0.454809,10.5558,20.5567,11.0544,21.1327,-4.87982,-0.076565,4.0881
L,10.7976,20.9454,-4.76175,-0.625279,10.8903,20.927,10.8105,21.1259,-4.88053,-0.196643,0.53338
R,10.5484,20.9471,-4.75459,-0.613157,9.30535,21.3896,10.5666,21.1131,-4.8784,-0.316041,5.75598
L,10.2655,20.9776,-4.83378,-0.620744,10.189,21.209,10.3229,21.0943,-4.87349,-0.434674,3.45672
R,10.0261,20.9595,-4.81945,-0.707818,9.97958,21.2932,10.0795,21.0697,-4.86585,-0.552463,1.00741
L,9.83322,20.9204,-4.72736,-0.832246,9.99634,20.9797,9.83658,21.0391,-4.85554,-0.669327,1.68048
R,9.59644,20.9141,-4.70838,-0.792013,9.38223,21.111,9.59422,21.0028,-4.84262,-0.785189,2.03854
L,9.40477,20.8627,-4.61947,-0.916761,9.53921,20.8762,9.35258,20.9607,-4.82714,-0.899977,1.06313
R,9.18334,20.8203,-4.58846,-1.02485,9.63392,20.9724,9.11177,20.9128,-4.80919,-1.01362,1.50383
L,8.88949,20.7915,-4.67637,-1.0781,8.70331,20.8221,8.87192,20.8594,-4.78881,-1.12605,2.15574
R,8.67526,20.7105,-4.61205,-1.25034,9.84634,20.009,8.63315,20.8003,-4.76608,-1.2372,4.54669
L,8.39908,20.6278,-4.64615,-1.3883,8.22277,20.4839,8.39557,20.7357,-4.74108,-1.34701,2.78067
R,8.17029,20.5469,-4.60478,-1.53588,8.29647,20.4978,8.1593,20.6657,-4.71387,-1.45542,0.149187
L,7.92819,20.4674,-4.58707,-1.64621,7.88599,20.45,7.92445,20.5903,-4.68453,-1.56237,0.117195
R,7.7127,20.3799,-4.52466,-1.81648,8.29081,20.6565,7.69111,20.5096,-4.65313,-1.66782,3.54585
L,7.40243,20.3236,-4.63838,-1.85231,7.18029,20.392,7.45939,20.4236,-4.61975,-1.7717,3.35708
R,7.16965,20.2272,-4.59582,-1.95412,7.09214,20.1196,7.22939,20.3326,-4.58448,-1.87399,0.212564
L,6.90485,20.1451,-4.61964,-2.02194,6.81542,20.1859,7.00119,20.2364,-4.54738,-1.97462,0.606729
R,6.67824,20.0539,-4.57524,-2.0864,6.89359,20.1536,6.7749,20.1352,-4.50854,-2.07357,0.45475
L,6.43063,19.963,-4.57126,-2.15363,6.38914,20.0136,6.55059,20.0292,-4.46805,-2.17079,0.263151
R,6.21293,19.8692,-4.51648,-2.22838,6.67637,20.2142,6.32834,19.9183,-4.42598,-2.26625,2.84017
L,5.94999,19.7764,-4.54581,-2.27767,5.86119,19.8306,6.10823,19.8027,-4.38241,-2.35993,0.683013
R,5.72168,19.629,-4.47584,-2.49366,5.28178,19.5036,5.89034,19.6824,-4.33744,-2.45178,1.99849
L,5.54765,19.5046,-4.33453,-2.59922,5.69089,19.5755,5.67472,19.5577,-4.29114,-2.5418,1.45007
R,5.34711,19.3548,-4.23348,-2.74593,5.9506,18.9859,5.46145,19.4284,-4.24359,-2.62995,1.76284
L,5.1342,19.2529,-4.1951,-2.781,5.17021,19.4397,5.25059,19.2949,-4.19488,-2.71622,1.91642
R,4.94156,19.142,-4.1268,-2.7759,5.87397,19.301,5.04219,19.157,-4.1451,-2.80059,4.68444
L,4.78145,18.9896,-3.97705,-2.89397,4.89149,18.982,4.8363,19.015,-4.09432,-2.88305,0.762512
R,4.57333,18.8391,-3.92318,-3.02052,3.98679,19.0452,4.63297,18.8689,-4.04263,-2.96359,1.46215
L,4.3968,18.7068,-3.83164,-3.07963,4.4685,18.834,4.43224,18.7188,-3.99012,-3.0422,1.12064
R,4.21419,18.5654,-3.763,-3.09685,4.69245,18.4634,4.23416,18.5648,-3.93685,-3.11888,1.36496
L,4.09225,18.4088,-3.57194,-3.19102,4.26269,18.481,4.03876,18.4071,-3.88293,-3.19362,2.01001
R,3.9116,18.2344,-3.47543,-3.40055,3.42433,18.8357,3.84606,18.2457,-3.82841,-3.26644,7.07396
L,3.65176,18.0946,-3.58245,-3.41795,3.45919,18.167,3.65611,18.0807,-3.77339,-3.33732,2.7416
R,3.48831,17.9448,-3.50272,-3.40616,4.3011,17.9267,3.46891,17.9122,-3.71795,-3.40627,3.43081
L,3.25933,17.7788,-3.54354,-3.4562,3.12525,17.7493,3.28449,17.7402,-3.66215,-3.47331,1.16288
R,3.08171,17.5938,-3.4523,-3.6091,2.65664,17.888,3.10287,17.565,-3.60609,-3.53844,2.37491
L,2.90158,17.4768,-3.43242,-3.57424,2.9449,17.8154,2.92405,17.3866,-3.54982,-3.60167,6.13621
R,2.76382,17.2584,-3.24068,-3.79754,3.26647,17.0897,2.74805,17.2051,-3.49344,-3.66302,3.04587
L,2.58791,17.0723,-3.18486,-3.86349,2.55407,17.0853,2.57486,17.0205,-3.437,-3.72251,0.0860608
R,2.42232,16.9075,-3.15194,-3.80617,2.55039,16.8884,2.4045,16.833,-3.38059,-3.78015,2.18426
L,2.25736,16.7355,-3.10285,-3.83823,2.25371,16.8334,2.23695,16.6427,-3.32428,-3.83595,0.513393
R,2.08031,16.5409,-3.08857,-3.84799,1.57735,16.0489,2.07221,16.4497,-3.26812,-3.88995,4.95293
L,1.92638,16.3104,-2.99656,-3.96387,1.88972,16.1054,1.91027,16.2539,-3.21219,-3.94216,2.26805
R,1.76671,16.1353,-2.975,-3.93185,1.74363,16.2687,1.75112,16.0557,-3.15656,-3.99261,0.964757
L,1.55877,15.9684,-3.05592,-3.91545,1.44745,16.0853,1.59474,15.8549,-3.10129,-4.04132,1.6192
R,1.43569,15.7353,-2.88313,-4.10169,1.6097,15.5526,1.44111,15.6517,-3.04644,-4.08832,2.20908
L,1.26242,15.5176,-2.86871,-4.16495,1.18395,15.4284,1.29021,15.4463,-2.99207,-4.13364,0.782127
R,1.10355,15.3252,-2.84912,-4.16706,0.828993,15.528,1.14201,15.2386,-2.93825,-4.1773,0.925235
L,0.889563,15.1076,-2.94016,-4.20482,0.722706,15.0075,0.996486,15.0288,-2.88503,-4.21933,2.26469
R,0.738951,14.9277,-2.92753,-4.1456,1.03147,15.2134,0.853604,14.8169,-2.83246,-4.25977,2.32477
L,0.640455,14.713,-2.76529,-4.20786,0.737301,14.7047,0.71333,14.603,-2.78061,-4.29864,0.622311
R,0.530697,14.4704,-2.60056,-4.35734,0.722177,14.2445,0.575628,14.3872,-2.72952,-4.33598,1.90373
L,0.356051,14.2485,-2.63112,-4.39632,0.253435,14.2028,0.440459,14.1696,-2.67925,-4.37181,0.779725
R,0.237178,13.9952,-2.47402,-4.57661,-0.0328025,13.9604,0.307779,13.9502,-2.62984,-4.40617,3.08328
L,0.228876,13.7452,-2.10901,-4.66205,0.459172,13.6856,0.177545,13.7292,-2.58135,-4.43909,3.72778
R,0.127606,13.5022,-1.97852,-4.76118,0.0524417,13.6377,0.0497099,13.5065,-2.53381,-4.47061,0.901509
L,-0.0423419,13.2716,-2.05145,-4.78978,-0.190344,13.2856,-0.0757753,13.2823,-2.48728,-4.50075,1.47278
R,-0.161824,13.054,-2.03363,-4.74803,-0.275042,13.1456,-0.198962,13.0566,-2.44179,-4.52955,1.18042
L,-0.160307,12.8273,-1.70171,-4.77737,0.0462308,12.9301,-0.319903,12.8295,-2.39739,-4.55704,3.34281
R,-0.280536,12.6029,-1.72242,-4.72904,-0.684792,12.3563,-0.438654,12.6011,-2.35412,-4.58326,3.59972
L,-0.402241,12.3676,-1.72516,-4.75578,-0.476482,12.3633,-0.555273,12.3714,-2.31202,-4.60823,0.370521
R,-0.530131,12.1597,-1.77796,-4.7021,-0.972122,12.5207,-0.669817,12.1404,-2.27111,-4.63198,3.7465
